1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
3.57214,4.04024,5.1109,3.59709,3.67641,4.56111,2.96774,1.8244,1.67627,2.50138,3.1018,0,2.15244,3.98169,3.49737,3.9256,3.42504,4.39121,3.63189,3.04879,0.207461,4.36388,0.843367,2.32248,0.85874,0.727633,3.23841,4.17227,3.51144,4.7038,3.51558,4.01605,3.73924,4.93178,3.41646,3.01438,1.58129,1.87775,3.42567,3.66251,4.8018
3.94223,5.72316,4.15794,5.0061,3.87098,3.90767,4.27441,2.02283,3.70731,3.74124,0.952064,2.15244,0,3.80052,4.77188,5.55853,4.23219,6.18624,5.07633,2.52261,2.07815,2.96481,1.31981,3.40726,1.29371,2.50805,3.33423,5.9031,4.81461,3.96151,4.81672,5.6897,3.84477,4.06605,3.57255,1.4893,3.49041,3.62558,4.02838,5.54426,2.85594
0.990001,4.213,1.753,3.196,0.680001,0.974,2.70868,2.19723,4.08477,2.50782,4.17271,3.98169,3.80052,0,2.822,3.99,1.792,4.817,3.304,6.22754,3.77452,6.71012,3.66519,6.27446,3.76348,3.47277,6.84448,4.451,2.896,1.186,2.893,4.169,0.522,1.507,7.06586,2.65287,3.70737,3.40837,7.2818,4.6208,6.15449
1.832,1.391,4.575,0.374001,2.142,3.796,0.531949,2.79498,2.40186,1.04812,5.56008,3.49737,4.77188,2.822,0,1.168,1.03,1.995,0.482004,6.50988,3.35843,7.60857,3.81624,5.60101,3.91293,2.77029,6.72525,1.629,0.0740608,4.008,0.0710282,1.347,2.3,4.329,6.89175,4.43491,2.16571,1.75209,6.78941,1.89068,7.60569
3,0.223,5.743,0.79401,3.31,4.964,1.4235,3.70374,2.43375,1.9014,6.41752,3.9256,5.55853,3.99,1.168,0,2.198,0.827002,0.686018,6.96845,3.83768,8.24073,4.43956,5.7228,4.52378,3.24555,7.01812,0.461,1.09402,5.176,1.097,0.179003,3.468,5.497,7.15444,5.43778,2.36945,2.04978,6.92271,0.938651,8.41437
0.802016,2.421,3.545,1.40401,1.11201,2.766,1.0076,2.21146,2.81484,1.07404,4.91605,3.42504,4.23219,1.792,1.03,2.198,0,3.025,1.51201,6.26592,3.24628,7.16896,3.51123,5.69932,3.61532,2.72903,6.63464,2.659,1.10402,2.978,1.101,2.377,1.27001,3.299,6.8252,3.63724,2.4827,2.08697,6.84287,2.86747,6.98221
3.827,0.604003,6.57,1.621,4.137,5.791,2.21504,4.41956,2.76819,2.65321,7.0762,4.39121,6.18624,4.817,1.995,0.827002,3.025,0,1.513,7.38474,4.33506,8.75208,4.99745,5.94395,5.07287,3.76638,7.32797,0.366005,1.921,6.003,1.924,0.648001,4.295,6.324,7.44258,6.18134,2.81079,2.57651,7.12825,0.785866,9.03198
2.314,0.909014,5.057,0.108005,2.624,4.278,0.817603,3.14728,2.34238,1.34183,5.89879,3.63189,5.07633,3.304,0.482004,0.686018,1.51201,1.513,0,6.67521,3.51434,7.85183,4.04156,5.61903,4.13328,2.91655,6.8203,1.14701,0.408001,4.49,0.411019,0.865009,2.782,4.811,6.97453,4.83811,2.17416,1.78743,6.81732,1.45865,7.9262
6.18171,7.07407,6.67559,6.636,6.17875,6.42204,5.97797,4.16837,4.61734,5.47928,2.75512,3.04879,2.52261,6.22754,6.50988,6.96845,6.26592,7.38474,6.67521,0,3.1613,1.70932,2.75472,2.13405,2.65061,3.7587,1.02819,7.19271,6.53068,6.48206,6.53443,7.05192,6.18422,6.58821,1.24611,3.99342,4.60458,4.92506,1.96129,6.62556,2.92886
3.37392,3.9614,4.91,3.47472,3.47379,4.35556,2.82702,1.61819,1.66892,2.34714,3.03022,0.207461,2.07815,3.77452,3.35843,3.83768,3.24628,4.33506,3.51434,3.1613,0,4.41867,0.758601,2.52388,0.798164,0.598206,3.39934,4.10271,3.37579,4.49934,3.37973,3.93547,3.53499,4.72923,3.58323,2.85573,1.52806,1.78864,3.61599,3.62217,4.79002
6.90704,8.37408,6.71187,7.79587,6.83027,6.65488,7.08785,4.96056,6.02708,6.56066,2.6005,4.36388,2.96481,6.71012,7.60857,8.24073,7.16896,8.75208,7.85183,1.70932,4.41867,0,3.81131,3.84335,3.72206,4.99988,2.56611,8.52053,7.6421,6.66069,7.64498,8.34667,6.79722,6.6858,2.71514,4.13319,5.94154,6.20065,3.50948,8.02595,1.53492
3.46512,4.5824,4.55511,3.9876,3.49868,4.09185,3.28935,1.48393,2.4082,2.77008,2.27184,0.843367,1.31981,3.66519,3.81624,4.43956,3.51123,4.99745,4.04156,2.75472,0.758601,3.81131,0,2.68362,0.105043,1.23964,3.20833,4.74168,3.84535,4.20811,3.84853,4.55294,3.52715,4.40052,3.42089,2.2435,2.22536,2.42184,3.62091,4.31316,4.06252
5.89359,5.77213,7.23552,5.61195,5.99761,6.76982,5.0968,4.08222,3.29762,4.70156,4.11097,2.32248,3.40726,6.27446,5.60101,5.7228,5.69932,5.94395,5.61903,2.13405,2.52388,3.84335,2.68362,0,2.60249,2.9739,1.52899,5.83373,5.59839,6.89036,5.60335,5.76078,6.05697,7.08384,1.56941,4.77981,3.44902,3.8532,1.20097,5.15812,4.95812
3.56972,4.66419,4.6334,4.08047,3.60206,4.17942,3.38521,1.58587,2.46122,2.86761,2.24361,0.85874,1.29371,3.76348,3.91293,4.52378,3.61532,5.07287,4.13328,2.65061,0.798164,3.72206,0.105043,2.60249,0,1.30913,3.10507,4.82091,3.9413,4.29313,3.94453,4.6352,3.62961,4.48173,3.31832,2.28672,2.29079,2.49919,3.52589,4.38238,4.00106
2.94968,3.3744,4.77518,2.87793,3.08871,4.15608,2.24029,1.47428,1.20965,1.77668,3.4485,0.727633,2.50805,3.47277,2.77029,3.24555,2.72903,3.76638,2.91655,3.7587,0.598206,4.99988,1.23964,2.9739,1.30913,0,3.96428,3.52231,2.78523,4.31899,2.7893,3.34739,3.16975,4.57539,4.1394,3.02007,0.987689,1.20078,4.1149,3.07383,5.30066
6.66691,7.09402,7.47441,6.79668,6.70701,7.14893,6.19894,4.68971,4.59213,5.73979,3.7159,3.23841,3.33423,6.84448,6.72525,7.01812,6.63464,7.32797,6.8203,1.02819,3.39934,2.56611,3.20833,1.52899,3.10507,3.96428,0,7.18178,6.73504,7.22998,6.73943,7.07762,6.73384,7.3658,0.239201,4.82333,4.66353,5.03359,0.953843,6.54719,3.91918
3.461,0.238,6.204,1.25501,3.771,5.425,1.86124,4.09816,2.59412,2.31461,6.78081,4.17227,5.9031,4.451,1.629,0.461,2.659,0.366005,1.14701,7.19271,4.10271,8.52053,4.74168,5.83373,4.82091,3.52231,7.18178,0,1.55501,5.637,1.558,0.282002,3.929,5.958,7.30596,5.84999,2.59323,2.32274,7.0271,0.753077,8.75512
